title;title_details;"	IMDb Rating"
 Planeta Terra II ;Planeta Terra II (2016);9,5
Planeta Terra;2. Planeta Terra (2006);9,4
Irmãos de Guerra;3. Irmãos de Guerra (2001);9,4
Breaking Bad;4. Breaking Bad (2008);9,4
Chernobyl;5. Chernobyl (2019);9,4
Planeta Azul II;6. Planeta Azul II (2017);9,3
A Escuta;7. A Escuta (2002);9,3
Nosso Planeta;8. Nosso Planeta (2019);9,3
Cosmos: Uma Odisseia do Espaço-Tempo;9. Cosmos: Uma Odisseia do Espaço-Tempo (2014);9,2
Cosmos;10. Cosmos (1980);9,2
Game of Thrones;11. Game of Thrones (2011);9,2
Avatar: A Lenda de Aang;12. Avatar: A Lenda de Aang (2005);9,2
Rick e Morty;13. Rick e Morty (2013);9,2
Família Soprano;14. Família Soprano (1999);9,2
O Mundo em Guerra;15. O Mundo em Guerra (1973);9,1
Arremesso Final;16. Arremesso Final (2020);9,1
Vida;17. Vida (2009);9,1
Scam 1992: The Harshad Mehta Story;18. Scam 1992: The Harshad Mehta Story (2020);9,1
Fraternidade Alquimista;19. Fraternidade Alquimista (2009);9,1
The Vietnam War;20. The Vietnam War (2017);9,1
Sherlock;21. Sherlock (2010);9
Além da Imaginação;22. Além da Imaginação (1959);9
Planeta Humano;23. Planeta Humano (2011);9
Planeta Azul;24. Planeta Azul (2001);9
Sahsiyet;25. Sahsiyet (2018);9
Batman: A Série Animada;26. Batman: A Série Animada (1992);9
The Beatles Anthology;27. The Beatles Anthology (1995);9
Planeta Gelado;28. Planeta Gelado (2011);9
Firefly;29. Firefly (2002);8,9
Decálogo;30. Decálogo (1989);8,9
True Detective;31. True Detective (2014);8,9
Death Note: Notas da Morte;32. Death Note: Notas da Morte (2006);8,9
The Civil War;33. The Civil War (1990);8,9
Redescobrindo a Segunda Guerra;34. Redescobrindo a Segunda Guerra (2009);8,9
Taskmaster;35. Taskmaster (2015);8,9
Cowboy Bebop;36. Cowboy Bebop (1998);8,9
África;37. África (2013);8,9
Fargo;38. Fargo (2014);8,9
Olhos que Condenam;39. Olhos que Condenam (2019);8,9
Last Week Tonight with John Oliver;40. Last Week Tonight with John Oliver (2014);8,9
Hunter x Hunter;41. Hunter x Hunter (2011);8,9
Only Fools and Horses....;42. Only Fools and Horses.... (1981);8,9
Vida de Escritório;43. Vida de Escritório (2005);8,8
TVF Pitchers;44. TVF Pitchers (2015);8,8
Gravity Falls: Um Verão de Mistérios;45. Gravity Falls: Um Verão de Mistérios (2012);8,8
Nathan for You;46. Nathan for You (2013);8,8
Friends;47. Friends (1994);8,8
Das Boot;48. Das Boot (1985);8,8
Ataque dos Titãs;49. Ataque dos Titãs (2013);8,8
Seinfeld;50. Seinfeld (1989);8,8
Monty Python's Flying Circus;51. Monty Python's Flying Circus (1969);8,8
It's a Sin;52. It's a Sin (2021);8,8
Orgulho e Preconceito;53. Orgulho e Preconceito (1995);8,8
Black Mirror;54. Black Mirror (2011);8,8
Como Funciona o Universo;55. Como Funciona o Universo (2010);8,8
Twin Peaks;56. Twin Peaks (1990);8,8
O Segredo Além do Jardim;57. O Segredo Além do Jardim (2014);8,8
Narcos;58. Narcos (2015);8,7
Blackadder Goes Forth;59. Blackadder Goes Forth (1989);8,7
Ramayan;60. Ramayan (1987);8,7
One Punch Man;61. One Punch Man (2015);8,7
