title;title_details;"	IMDb Rating"
The Shawshank Redemption;1. The Shawshank Redemption (1994);9.2
The Godfather;2. The Godfather (1972);9.2
The Godfather: Part II;3. The Godfather: Part II (1974);9.0
The Dark Knight;4. The Dark Knight (2008);9.0
12 Angry Men;5. 12 Angry Men (1957);8.9
Schindler's List;6. Schindler's List (1993);8.9
The Lord of the Rings: The Return of the King;7. The Lord of the Rings: The Return of the King (2003);8.9
Pulp Fiction;8. Pulp Fiction (1994);8.9
The Lord of the Rings: The Fellowship of the Ring;9. The Lord of the Rings: The Fellowship of the Ring (2001);8.8
Fight Club;10. Fight Club (1999);8.8
Forrest Gump;11. Forrest Gump (1994);8.8
Inception;12. Inception (2010);8.7
The Lord of the Rings: The Two Towers;13. The Lord of the Rings: The Two Towers (2002);8.7
Star Wars: Episode V - The Empire Strikes Back;14. Star Wars: Episode V - The Empire Strikes Back (1980);8.7
The Matrix;15. The Matrix (1999);8.7
Goodfellas;16. Goodfellas (1990);8.7
One Flew Over the Cuckoo's Nest;17. One Flew Over the Cuckoo's Nest (1975);8.6
Se7en;18. Se7en (1995);8.6
It's a Wonderful Life;19. It's a Wonderful Life (1946);8.6
The Silence of the Lambs;20. The Silence of the Lambs (1991);8.6
Star Wars: Episode IV - A New Hope;21. Star Wars: Episode IV - A New Hope (1977);8.6
Saving Private Ryan;22. Saving Private Ryan (1998);8.6
Interstellar;23. Interstellar (2014);8.6
The Green Mile;24. The Green Mile (1999);8.6
Léon: The Professional;25. Léon: The Professional (1994);8.5
The Lion King;26. The Lion King (1994);8.5
The Usual Suspects;27. The Usual Suspects (1995);8.5
Modern Times;28. Modern Times (1936);8.5
The Pianist;29. The Pianist (2002);8.5
Hamilton;30. Hamilton (2020);8.5
Back to the Future;31. Back to the Future (1985);8.5
Terminator 2: Judgment Day;32. Terminator 2: Judgment Day (1991);8.5
American History X;33. American History X (1998);8.5
Gladiator;34. Gladiator (2000);8.5
Psycho;35. Psycho (1960);8.5
The Departed;36. The Departed (2006);8.5
Whiplash;37. Whiplash (2014);8.5
The Prestige;38. The Prestige (2006);8.5
Once Upon a Time in the West;39. Once Upon a Time in the West (1968);8.5
Casablanca;40. Casablanca (1942);8.5
Rear Window;41. Rear Window (1954);8.4
The Great Dictator;42. The Great Dictator (1940);8.4
Alien;43. Alien (1979);8.4
Apocalypse Now;44. Apocalypse Now (1979);8.4
Memento;45. Memento (2000);8.4
